movie,year,genre,color,language,country,rating,duration,budget
Snow White and the Seven Dwarfs,1937,Animation,Color,English,USA,Approved,83,"$2,000,000.00 "
Incendies,2010,Drama,Color,French,Canada,R,139,"$6,800,000.00 "
No Country for Old Men,2007,Crime,Color,English,USA,R,122,"$25,000,000.00 "
The Terminator,1984,Action,Color,English,UK,R,107,"$6,500,000.00 "
Casino Royale,2006,Action,Black and White,English,UK,PG-13,144,"$150,000,000.00 "
Casino Royale,2006,Action,Black and White,English,UK,PG-13,144,"$150,000,000.00 "
Shrek,2001,Adventure,Color,English,USA,PG,90,"$60,000,000.00 "
Amour,2012,Drama,Color,French,France,PG-13,127,"$8,900,000.00 "
The Manchurian Candidate,2004,Drama,Color,English,USA,R,129,"$80,000,000.00 "
Inception,2010,Action,Color,English,USA,PG-13,148,"$160,000,000.00 "
The Departed,2006,Crime,Color,English,USA,R,151,"$90,000,000.00 "
Iron Man,2008,Action,Color,English,USA,PG-13,126,"$140,000,000.00 "
The Wrestler,2008,Drama,Color,English,USA,R,109,"$6,000,000.00 "
Gravity,2013,Adventure,Color,English,UK,PG-13,91,"$100,000,000.00 "
Shine,1996,Biography,Color,English,Australia,PG-13,105,"$5,500,000.00 "
You Can Count on Me,2000,Drama,Color,English,USA,R,111,"$1,200,000.00 "
The Station Agent,2003,Comedy,Color,English,USA,R,89,"$500,000.00 "
Traffic,2000,Crime,Color,English,USA,R,190,"$48,000,000.00 "
Mean Streets,1973,Crime,Color,English,USA,R,112,"$500,000.00 "
Raging Bull,1980,Biography,Black and White,English,USA,R,121,"$18,000,000.00 "
2001: A Space Odyssey,1968,Adventure,Color,English,UK,G,161,"$12,000,000.00 "
Stand by Me,1986,Adventure,Color,English,USA,R,89,"$8,000,000.00 "
Shaun of the Dead,2004,Comedy,Color,English,UK,R,99,"$4,000,000.00 "
Hot Fuzz,2007,Action,Color,English,UK,R,121,"$8,000,000.00 "
Letters from Iwo Jima,2006,Drama,Color,Japanese,USA,R,141,"$19,000,000.00 "
The Lego Movie,2014,Action,Color,English,Australia,PG,100,"$60,000,000.00 "
Run Lola Run,1998,Crime,Black and White,German,Germany,R,81,"$3,500,000.00 "
Star Trek,2009,Action,Color,English,USA,PG-13,127,"$150,000,000.00 "
Catch Me If You Can,2002,Biography,Color,English,USA,PG-13,141,"$52,000,000.00 "
Argo,2012,Biography,Color,English,USA,R,130,"$44,500,000.00 "
Henry V,1989,Action,Color,English,UK,PG-13,137,"$9,000,000.00 "
Brooklyn,2015,Drama,Color,English,UK,PG-13,111,"$11,000,000.00 "
Guardians of the Galaxy,2014,Action,Color,English,USA,PG-13,121,"$170,000,000.00 "
The Bourne Ultimatum,2007,Action,Color,English,USA,PG-13,115,"$110,000,000.00 "
Slumdog Millionaire,2008,Drama,Color,English,UK,R,120,"$15,000,000.00 "
Captain Phillips,2013,Biography,Color,English,USA,PG-13,134,"$55,000,000.00 "
The Hurt Locker,2008,Drama,Color,English,USA,R,131,"$15,000,000.00 "
House of Flying Daggers,2004,Action,Color,Mandarin,China,PG-13,119,"$100,000,000.00 "
The Truman Show,1998,Comedy,Color,English,USA,PG,103,"$60,000,000.00 "
Groundhog Day,1993,Comedy,Color,English,USA,PG,101,"$14,600,000.00 "
Children of Men,2006,Drama,Color,English,USA,R,109,"$76,000,000.00 "
Close Encounters of the Third Kind,1977,Drama,Color,English,USA,PG,135,"$19,400,870.00 "
The Matrix,1999,Action,Color,English,USA,R,136,"$63,000,000.00 "
Oldboy,2003,Drama,Color,Korean,South Korea,R,120,"$3,000,000.00 "
The Martian,2015,Adventure,Color,English,USA,PG-13,151,"$108,000,000.00 "
Million Dollar Baby,2004,Drama,Color,English,USA,PG-13,132,"$30,000,000.00 "
Silver Linings Playbook,2012,Comedy,Color,English,USA,R,122,"$21,000,000.00 "
Moonrise Kingdom,2012,Adventure,Color,English,USA,PG-13,94,"$16,000,000.00 "
Creed,2015,Drama,Color,English,USA,PG-13,133,"$35,000,000.00 "
This Is England,2006,Crime,Color,English,UK,Unrated,101,"$1,500,000.00 "
Moneyball,2011,Biography,Color,English,USA,PG-13,133,"$50,000,000.00 "
Midnight Run,1988,Action,Color,English,USA,R,126,"$30,000,000.00 "
The Piano,1993,Drama,Color,English,New Zealand,R,121,"$7,000,000.00 "
Leaving Las Vegas,1995,Drama,Color,English,USA,R,111,"$3,600,000.00 "
The Dark Knight Rises,2012,Action,Color,English,USA,PG-13,164,"$250,000,000.00 "
Edward Scissorhands,1990,Fantasy,Color,English,USA,PG-13,105,"$20,000,000.00 "
Fantastic Mr. Fox,2009,Adventure,Color,English,USA,PG,87,"$40,000,000.00 "
Kung Fu Hustle,2004,Action,Color,Cantonese,Hong Kong,R,99,"$20,000,000.00 "
Glengarry Glen Ross,1992,Crime,Color,English,USA,R,100,"$12,500,000.00 "
Lost in Translation,2003,Drama,Color,English,USA,R,101,"$4,000,000.00 "
Weekend,2011,Drama,Color,English,UK,Not Rated,97,"$120,000.00 "
High Fidelity,2000,Comedy,Color,English,UK,R,113,"$20,000,000.00 "
Ghost World,2001,Comedy,Color,English,USA,R,111,"$7,000,000.00 "
Scarface,1983,Crime,Color,English,USA,R,142,"$25,000,000.00 "
Nightcrawler,2014,Crime,Color,English,USA,R,117,"$8,500,000.00 "
Airplane!,1980,Comedy,Color,English,USA,PG,88,"$3,500,000.00 "
Juno,2007,Comedy,Color,English,USA,PG-13,96,"$7,500,000.00 "
Juno,2007,Comedy,Color,English,USA,PG-13,96,"$7,500,000.00 "
A Room with a View,1985,Drama,Color,English,UK,Unrated,117,"$3,000,000.00 "
Metropolis,1927,Drama,Black and White,German,Germany,Not Rated,145,"$6,000,000.00 "
Captain America: Civil War,2016,Action,Color,English,USA,PG-13,147,"$250,000,000.00 "
Jurassic Park,1993,Adventure,Color,English,USA,PG-13,127,"$63,000,000.00 "
How to Train Your Dragon 2,2014,Action,Color,English,USA,PG,102,"$145,000,000.00 "
Taxi to the Dark Side,2007,Crime,Color,English,USA,R,53,"$1,000,000.00 "
Selma,2014,Biography,Color,English,UK,PG-13,128,"$20,000,000.00 "
Fruitvale Station,2013,Biography,Color,English,USA,R,85,"$900,000.00 "
Fight Club,1999,Drama,Color,English,USA,R,151,"$63,000,000.00 "
X-Men: Days of Future Past,2014,Action,Color,English,USA,PG-13,149,"$200,000,000.00 "
Harry Potter and the Prisoner of Azkaban,2004,Adventure,Color,English,UK,PG,142,"$130,000,000.00 "
Dazed and Confused,1993,Comedy,Color,English,USA,R,102,"$6,900,000.00 "
Rush,2013,Action,Color,English,UK,R,123,"$38,000,000.00 "
Almost Famous,2000,Adventure,Color,English,USA,R,152,"$60,000,000.00 "
Glory,1989,Drama,Color,English,USA,R,122,"$18,000,000.00 "
Glory,1989,Drama,Color,English,USA,R,122,"$18,000,000.00 "
The Fighter,2010,Biography,Color,English,USA,R,116,"$25,000,000.00 "
Nebraska,2013,Adventure,Black and White,English,USA,R,115,"$12,000,000.00 "
The Lunchbox,2013,Drama,Color,Hindi,India,PG,104,"$1,000,000.00 "
Milk,2008,Biography,Color,English,USA,R,128,"$20,000,000.00 "
The Damned United,2009,Biography,Color,English,UK,R,98,"$10,000,000.00 "
Dirty Pretty Things,2002,Crime,Color,English,UK,R,97,"$10,000,000.00 "
Cape Fear,1991,Crime,Color,English,USA,R,128,"$35,000,000.00 "
Deliver Us from Evil,2014,Horror,Color,English,USA,R,118,"$30,000,000.00 "
Batman Begins,2005,Action,Color,English,USA,PG-13,128,"$150,000,000.00 "
Dead Poets Society,1989,Comedy,Color,English,USA,PG,128,"$16,400,000.00 "
The Last of the Mohicans,1992,Action,Color,English,USA,R,117,"$40,000,000.00 "
The Big Short,2015,Biography,Color,English,USA,R,130,"$28,000,000.00 "
City of Life and Death,2009,Drama,Black and White,Mandarin,China,R,132,"$12,000,000.00 "
127 Hours,2010,Adventure,Color,English,USA,R,94,"$18,000,000.00 "
West Side Story,1961,Crime,Color,English,USA,Unrated,152,"$6,000,000.00 "
Spider-Man 2,2004,Action,Color,English,USA,PG-13,135,"$200,000,000.00 "
Face/Off,1997,Action,Color,English,USA,R,138,"$80,000,000.00 "
Casino,1995,Biography,Color,English,USA,R,178,"$52,000,000.00 "
The Big Lebowski,1998,Comedy,Color,English,USA,R,117,"$15,000,000.00 "
Gone Girl,2014,Crime,Color,English,USA,R,149,"$61,000,000.00 "
Butch Cassidy and the Sundance Kid,1969,Biography,Color,English,USA,M,110,"$6,000,000.00 "
True Grit,2010,Adventure,Color,English,USA,PG-13,110,"$38,000,000.00 "
Frost/Nixon,2008,Drama,Color,English,USA,R,122,"$35,000,000.00 "
Brokeback Mountain,2005,Drama,Color,English,USA,R,134,"$14,000,000.00 "
Apollo 13,1995,Adventure,Color,English,USA,PG,140,"$62,000,000.00 "
Sicario,2015,Action,Color,English,USA,R,121,"$30,000,000.00 "
A Nightmare on Elm Street,1984,Horror,Color,English,USA,X,101,"$1,800,000.00 "
Sideways,2004,Adventure,Color,English,USA,R,126,"$12,000,000.00 "
From Russia with Love,1963,Action,Color,English,UK,Approved,115,"$2,000,000.00 "
A Nightmare on Elm Street,1984,Horror,Color,English,USA,X,101,"$1,800,000.00 "
Election,1999,Comedy,Color,English,USA,R,103,"$8,000,000.00 "
American History X,1998,Crime,Black and White,English,USA,R,101,"$7,500,000.00 "
Indiana Jones and the Last Crusade,1989,Action,Color,English,USA,PG-13,127,"$48,000,000.00 "
The Imitation Game,2014,Biography,Color,English,UK,PG-13,114,"$14,000,000.00 "
The Untouchables,1987,Crime,Color,English,USA,R,119,"$25,000,000.00 "
Captain America: The Winter Soldier,2014,Action,Color,English,USA,PG-13,136,"$170,000,000.00 "
Ponyo,2008,Adventure,Color,Japanese,Japan,G,101,"$34,000,000.00 "
Dawn of the Planet of the Apes,2014,Action,Color,English,USA,PG-13,130,"$170,000,000.00 "
United 93,2006,Drama,Color,English,USA,R,111,"$15,000,000.00 "
Escape from Alcatraz,1979,Biography,Color,English,USA,PG,112,"$8,000,000.00 "
Looper,2012,Action,Color,English,USA,R,119,"$30,000,000.00 "
Warrior,2011,Drama,Color,English,USA,PG-13,140,"$25,000,000.00 "
District 9,2009,Action,Color,English,South Africa,R,112,"$30,000,000.00 "
Skyfall,2012,Action,Color,English,UK,PG-13,143,"$200,000,000.00 "
Skyfall,2012,Action,Color,English,UK,PG-13,143,"$200,000,000.00 "
Maurice,1987,Drama,Color,English,UK,R,140,"$2,600,000.00 "
Midnight in Paris,2011,Comedy,Color,English,Spain,PG-13,94,"$17,000,000.00 "
The Great Beauty,2013,Drama,Color,Italian,Italy,Not Rated,172,"$9,200,000.00 "
Vera Drake,2004,Crime,Color,English,UK,R,125,"$11,000,000.00 "
50/50,2011,Comedy,Color,English,USA,R,100,"$8,000,000.00 "
Dead Man Walking,1995,Crime,Color,English,UK,R,122,"$11,000,000.00 "
Menace II Society,1993,Crime,Color,English,USA,R,97,"$3,500,000.00 "
Forrest Gump,1994,Comedy,Black and White,English,USA,PG-13,142,"$55,000,000.00 "
True Romance,1993,Action,Color,English,USA,R,121,"$13,000,000.00 "
The Last Emperor,1987,Biography,Color,English,China,PG-13,219,"$23,000,000.00 "
Ex Machina,2015,Drama,Black and White,English,UK,R,108,"$15,000,000.00 "
Boys Don't Cry,1999,Biography,Color,English,USA,R,118,"$2,000,000.00 "
Best in Show,2000,Comedy,Color,English,USA,PG-13,90,"$6,000,000.00 "
Welcome to the Dollhouse,1995,Comedy,Color,English,USA,R,88,"$800,000.00 "
Tootsie,1982,Comedy,Color,English,USA,PG,116,"$22,000,000.00 "
Duma,2005,Adventure,Color,English,USA,PG,100,"$12,000,000.00 "
Amélie,2001,Comedy,Black and White,French,France,R,122,"$77,000,000.00 "
Big Hero 6,2014,Action,Color,English,USA,PG,102,"$165,000,000.00 "
The Bourne Supremacy,2004,Action,Color,English,USA,PG-13,108,"$75,000,000.00 "
What's Eating Gilbert Grape,1993,Drama,Color,English,USA,PG-13,118,"$11,000,000.00 "
Clerks,1994,Comedy,Black and White,English,USA,R,102,"$230,000.00 "
Capote,2005,Biography,Color,English,Canada,R,110,"$7,000,000.00 "
The Crying Game,1992,Crime,Color,English,UK,R,112,"$2,300,000.00 "
Three Kings,1999,Action,Color,English,USA,R,114,"$48,000,000.00 "
Requiem for a Dream,2000,Drama,Color,English,USA,R,102,"$4,500,000.00 "
Serenity,2005,Action,Color,English,USA,PG-13,119,"$40,000,000.00 "
Mystic River,2003,Crime,Color,English,USA,R,138,"$25,000,000.00 "
Malcolm X,1992,Biography,Color,English,USA,PG-13,202,"$33,000,000.00 "
Zombieland,2009,Adventure,Color,English,USA,R,88,"$23,600,000.00 "
The Secret of Kells,2009,Adventure,Color,English,France,Not Rated,75,"$6,500,000.00 "
Philomena,2013,Biography,Color,English,UK,PG-13,98,"$12,000,000.00 "
Inside Llewyn Davis,2013,Drama,Color,English,USA,R,104,"$11,000,000.00 "
20 Feet from Stardom,2013,Documentary,Color,English,USA,PG-13,91,"$1,000,000.00 "
Superman,1978,Action,Color,English,USA,PG,188,"$55,000,000.00 "
Little Women,1994,Drama,Color,English,USA,PG,115,"$15,000,000.00 "
Diner,1982,Comedy,Color,English,USA,R,110,"$5,000,000.00 "
"Sex, Lies, and Videotape",1989,Drama,Color,English,USA,R,100,"$1,200,000.00 "
The Sixth Sense,1999,Drama,Color,English,USA,PG-13,107,"$40,000,000.00 "
Tangled,2010,Adventure,Color,English,USA,PG,100,"$260,000,000.00 "
The Jungle Book,2016,Adventure,Color,English,UK,PG,106,"$175,000,000.00 "
The Jungle Book,2016,Adventure,Color,English,UK,PG,106,"$175,000,000.00 "
Blazing Saddles,1974,Comedy,Color,English,USA,R,93,"$2,600,000.00 "
The Hunger Games: Catching Fire,2013,Adventure,Color,English,USA,PG-13,146,"$130,000,000.00 "
Bridge of Spies,2015,Drama,Color,English,USA,PG-13,142,"$40,000,000.00 "
Lone Star,1996,Drama,Color,English,USA,R,135,"$5,000,000.00 "
Take Shelter,2011,Drama,Color,English,USA,R,121,"$5,000,000.00 "
An Education,2009,Drama,Color,English,UK,PG-13,100,"$4,500,000.00 "
Prisoners,2013,Crime,Color,English,USA,R,153,"$46,000,000.00 "
Life of Pi,2012,Adventure,Color,English,USA,PG,127,"$120,000,000.00 "
Cinderella Man,2005,Biography,Color,English,USA,PG-13,144,"$88,000,000.00 "
Rain Man,1988,Drama,Color,English,USA,R,133,"$25,000,000.00 "
Black Swan,2010,Drama,Color,English,USA,R,108,"$13,000,000.00 "
The Perks of Being a Wallflower,2012,Drama,Color,English,USA,PG-13,102,"$13,000,000.00 "
Moon,2009,Drama,Color,English,UK,R,97,"$5,000,000.00 "
The Color Purple,1985,Drama,Color,English,USA,PG-13,154,"$15,000,000.00 "
Drive,2011,Crime,Color,English,USA,R,100,"$15,000,000.00 "
Star Trek: First Contact,1996,Action,Color,English,USA,PG-13,111,"$45,000,000.00 "
In the Bedroom,2001,Crime,Color,English,USA,R,138,"$1,700,000.00 "
Zero Dark Thirty,2012,Drama,Color,English,USA,R,157,"$40,000,000.00 "
Monsoon Wedding,2001,Comedy,Color,Hindi,India,R,114,"$7,000,000.00 "
Assault on Precinct 13,2005,Action,Color,English,USA,R,109,"$20,000,000.00 "
The Prestige,2006,Drama,Color,English,USA,PG-13,130,"$40,000,000.00 "
